Name,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,num_correct
Q3,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,13
Q4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,14
Q6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
Q8,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,12
Q9,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,5
Q10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q11,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,7
Q12,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,13
Q13,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,13
Q14,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,12
Q15,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,7
Q16,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,12
Q17,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14
Q18,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,9
Q19,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,13
Q20,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,11
Q21,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,11
Q22,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,13
Q23,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,5
Q25,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,8
Q26,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,10
Q27,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,14
Q28,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,9
Q29,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,12
Q30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
Q31,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,13
Q32,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,14
Q33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
Q34,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,10
Q36,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,10
Q38,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,14
Q39,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4
Q40,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,10
Q41,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,7
